path,width,height,mode,mean_intensity,std_intensity,min_intensity,max_intensity,aspect_ratio,file_size,split,label
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_39384303.jpg,48,48,L,88.1328125,50.463250514671664,4,245,1.0,1572,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_17389267.jpg,48,48,L,182.83767361111111,57.25550104700395,0,255,1.0,1758,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_19606960.jpg,48,48,L,147.02821180555554,39.91126858850802,18,228,1.0,1455,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_69710806.jpg,48,48,L,128.19791666666666,46.96657605673481,22,229,1.0,1380,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_92374023.jpg,48,48,L,111.2109375,63.69021394683265,2,255,1.0,1747,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_2773937.jpg,48,48,L,113.78038194444444,58.50523359655486,0,255,1.0,1616,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_11105229.jpg,48,48,L,91.35546875,53.20786784861381,0,255,1.0,1745,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_56423491.jpg,48,48,L,192.69270833333334,47.49727896765874,0,255,1.0,1668,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_20148223.jpg,48,48,L,170.07725694444446,48.3846810953412,30,232,1.0,1465,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_92030023.jpg,48,48,L,198.09939236111111,56.22080353063957,10,255,1.0,1400,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_10967459.jpg,48,48,L,104.49956597222223,42.294232268064086,0,210,1.0,1612,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_74793686.jpg,48,48,L,167.56597222222223,43.588551174582854,0,252,1.0,1651,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_96163603.jpg,48,48,L,166.39496527777777,68.20196525709028,0,255,1.0,1594,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_19286232.jpg,48,48,L,112.05729166666667,53.5637293936281,6,230,1.0,1516,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_95854199.jpg,48,48,L,181.61111111111111,74.62435311566928,8,255,1.0,1747,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_74654028.jpg,48,48,L,115.95963541666667,62.43647899181101,0,255,1.0,1733,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_73689680.jpg,48,48,L,132.14149305555554,60.46649480170087,0,231,1.0,1816,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_91720745.jpg,48,48,L,152.21918402777777,34.904932346474574,115,239,1.0,888,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_3720083.jpg,48,48,L,188.43229166666666,60.32924507579164,30,255,1.0,1690,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_21275805.jpg,48,48,L,133.90234375,40.355618775197314,10,234,1.0,1386,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_21034128.jpg,48,48,L,97.28862847222223,66.79597180859803,0,246,1.0,1645,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_86535195.jpg,48,48,L,119.95833333333333,84.07877011073208,0,246,1.0,1757,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_89428402.jpg,48,48,L,156.70789930555554,66.72719393038489,9,255,1.0,1749,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_40786940.jpg,48,48,L,131.92404513888889,66.95491625504572,0,255,1.0,1573,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_76701635.jpg,48,48,L,131.59635416666666,83.85108071282026,0,247,1.0,1650,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_4607488.jpg,48,48,L,107.34331597222223,63.7088559939659,2,223,1.0,1764,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_62462477.jpg,48,48,L,160.29817708333334,73.23789407554958,0,255,1.0,1545,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_12348190.jpg,48,48,L,94.80685763888889,59.186253549475396,0,239,1.0,1572,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_50233127.jpg,48,48,L,122.35633680555556,52.16677668836007,22,214,1.0,1506,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_97730202.jpg,48,48,L,156.26302083333334,62.20782613579446,0,255,1.0,2035,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_51702410.jpg,48,48,L,109.35112847222223,64.04004327624844,0,239,1.0,1407,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_23294249.jpg,48,48,L,89.01345486111111,28.691324355495826,3,163,1.0,1404,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_85524967.jpg,48,48,L,119.52604166666667,75.14937797035714,10,251,1.0,1654,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_21309732.jpg,48,48,L,153.41927083333334,62.57085214664417,5,255,1.0,1584,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_59656023.jpg,48,48,L,122.12630208333333,70.274888848328,0,252,1.0,1908,train,Confident
/home/ubuntu/dataset_analysis/DataSet/train/Confident/Training_84004456.jpg,48,48,L,155.69184027777777,64.61655464977858,0,255,1.0,1846,train,Confident
